iterations       power from maximum power to 0            a            b            c            x        error         time
126.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016849
127.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016860
127.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016864
128.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016882
128.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016886
129.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016896
129.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016900
130.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016911
130.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016916
131.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016927
131.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016932
132.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016942
132.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016947
133.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016957
133.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016962
134.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016973
134.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016978
135.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016989
135.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016994
136.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.017005
136.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.017009
137.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.017019
137.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.017023
138.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.017034
138.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.017038
139.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.017048
139.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.017052
140.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.017063
140.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.017067
141.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.017077
141.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.017081
142.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.017092
142.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.017096
